0,14959.495874297752,10689.04767628205
1,12135.078739466293,8547.35175030048
2,9861.073697550913,7011.955854366987
0,16514.41857224368,13133.600911458334
1,15861.943655635534,12611.205053084936
2,15177.338088132023,12127.994791666666
0,9371.103372981039,13567.028846153846
0,3425.5473694533443,1933.8800174028445
1,2077.7401925419153,1842.5760920597957
2,1961.4964935645628,1875.842291416266
2024-11-12 09:46:56,0,3410.3470054369295,1903.80663279998
2024-11-12 09:58:52,0,0.0524602270570029,0.029463573263432734
2024-11-12 10:02:03,0,0.05196881098568105,0.029241847256437328
2024-11-12 10:04:44,1,0.03201838198714377,0.028971091223259766
2024-11-12 10:07:26,2,0.030107994396448803,0.028270138141054373
2024-11-12 10:10:10,3,0.0290605810397629,0.025717656796750348
2024-11-12 10:12:53,4,0.027892283551143798,0.026694819164008666
2024-11-12 10:15:42,5,0.027095397060548657,0.023981045716657087
2024-11-12 10:18:29,6,0.026235726478854925,0.02630074202823333
2024-11-12 10:21:16,7,0.02547005625713742,0.023576392338444024
2024-11-12 10:24:05,8,0.025254269423528333,0.023641028202688083
2024-11-12 10:26:52,9,0.02487069583403763,0.022597697157508288
2024-11-12 11:17:12,0,0.052182333345075,0.02941317407366557
2024-11-12 11:23:12,0,0.0518895440180315,0.030217305255623963
2024-11-12 11:33:18,0,0.052627211311057714,"tensor(71.3123, device='cuda:0')",0.029206056338854324,"tensor(101.0975, device='cuda:0')"
2024-11-12 11:38:01,0,0.05302636972052997,"tensor(72.1696, device='cuda:0')",0.02844169547255987,"tensor(101.0982, device='cuda:0')"
2024-11-12 12:18:39,0,0.05414826165508019,0.021693900334923372,0.02904166880612954,0.032149712092130515
2024-11-12 12:32:40,0,0.05415341984271334,0.09287357488816297,0.02912296099253954,0.02895073576455534
